idx,words,lid
0,"['@dg_no_9' 'Khasai' 'kei' 'hoina' ',' 'liverpool' 'jitera' '@Jangiz_'
 'lai' 'nadekhda' 'chai' 'TL' 'bore' 'huni' 'raicha' 'bhanya' 'matra' 'ho'
 ':-)']","['other' 'lang2' 'lang2' 'lang2' 'other' 'ne' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'ne' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
1,"['Yo' '@Jangiz_' 'TL' 'ma' 'nabha' 'aja' 'chai' 'lastai' 'bore' 'bho'
 'kya' ':P' '#LFC' ':D']","['lang2' 'other' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang2' 'lang2' 'other' 'lang1' 'other']"
2,"['@mkhkopite' 'Yooo' '!!' 'Wt' 'did' 'I' 'tell' 'you' 'early' 'morning'
 '?' 'Ek' 'bounty' 'toh' 'banta' 'hai' 'bhaii' ':D']","['other' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'other' 'ne' 'other' 'other' 'other' 'other' 'other']"
3,"['@abiral_twit' 'Umm' '.' 'Mero' 'sano' 'tino' 'talent' 'nai'
 'bhanthanisyo' 'na' ':D']","['other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'lang2' 'other']"
4,"['@kryshuriti' 'Ammaa' 'bhetya' 'din' 'ta' 'maile' 'boley' 'hola' 'patar'
 'patar' 'uh' 'ta' 'ahan' '.' 'Silent' '.' ':D' '@Mrophiophagus'
 '@knirvik']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'other' 'other' 'other'
 'other']"
5,"['@Mrophiophagus' 'aho' '.' 'Dangerr' 'type' 'le' 'serious' 'ke' '.' 'Aru'
 'ta' 'aru' ',' 'kati' 'thorai' 'bolni' 'kya' ':O' '@kryshuriti']","['other' 'lang2' 'other' 'lang1' 'lang1' 'lang2' 'lang1' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'other']"
6,"['@engine_neear' 'Hiii' '.' 'Haha' 'maile' 'thyakkai' 'timlai' 'viber'
 'ma' 'msg' 'pathauchu' 'bhanera' 'sochya' 'matra' 'thiye' 'la' 'kassam'
 ':D']","['other' 'lang2' 'other' 'lang1' 'lang2' 'lang2' 'lang2' 'ne' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
7,"['Naam' 'chai' ""'"" 'filmygyan' ""'"" 're' 'ani' 'photo' 'chai' 'nana'
 'thari' 'aru' 'kura' 'ko' '.' 'Unlike' 'gariyo' 'lajja' '!' ':D']","['lang2' 'lang2' 'other' 'mixed' 'other' 'lang2' 'lang2' 'lang1' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang2' 'lang2'
 'other' 'other']"
8,"['@biplavhelllord' 'Ehhhh' ':)' 'I' 'agree' '.' 'To' 'clean' 'KTM' ""'s""
 'mess' 'we' 'have' 'to' 'throw' 'wakka' 'laagdo' 'people' 'out' ','
 'tespachi' 'ta' 'kasle' 'chune' 'mero' 'ktm' 'laai' 'wow' ':)']","['other' 'lang1' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'ne'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang1'
 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'lang2'
 'lang1' 'other']"
9,"['@biplavhelllord' 'People' '?' 'Ahhh' 'ktm' 'ko' 'manche' 'haru' 'koi'
 'khatra' ',' 'koi' 'chai' 'lastai' 'jhurr' 'hunchan' 'yar' ',' 'wakkai'
 'aaula' 'jasto' '(' 'if' 'thts' 'wht' 'ur' 'talkin' ')' ':P']","['other' 'lang1' 'other' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'other']"
