idx,words,lid,ner
0,"['Gully' 'cricket' 'chal' 'raha' 'hain' 'yaha' '""' '(' 'Soniya' ')'
 'Gandhi' '""']",['en' 'en' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'B-PERSON' 'O']
1,"['I' 'liked' 'a' '@YouTube' 'video' 'https://t.co/DmVqhZbdaI' 'Kabhi'
 'Palkon' 'Pe' 'Aasoon' 'Hai-' 'Kishore' 'Kumar' '-Vocal' 'Cover' 'By'
 'Stephen' 'Qadir']","['en' 'en' 'en' 'en' 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en'
 'en' 'en' 'en' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O'
 'O' 'B-PERSON' 'I-PERSON']"
2,"['Ab' 'yeh' 'kon' 'Bol' 'raha' 'hai' 'Aaj' '#MahaShivratri' 'pe' 'Aap'
 'wale' 'Delhi' 'me' 'WiFi' 'ke' 'sath' '30' 'min' 'Weed' 'bhi' 'free'
 'de' 'rahe' 'hai' '#']","['hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi'
 'hi' 'hi' 'rest' 'en' 'en' 'hi' 'en' 'hi' 'hi' 'hi' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
3,"['RT' '@AfsanaMeet' ':' '@Gurmeetramrahim' '#MSGdedicatesAwardToGuruji'
 'Naanu' 'papa' 'yepieee' '.' 'Congratulations' 'and' 'celebrations' '.'
 'https://t.co/Hn3vFWvdrW']","['en' 'rest' 'rest' 'en' 'en' 'rest' 'en' 'en' 'rest' 'en' 'en' 'en'
 'rest' 'en']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
4,"['@kapilv20012001' '@vaidehisachin' 'log' 'baat' 'samjhane' 'ke' 'liye'
 'ek' 'sher' 'padhte' 'hai' 'modiji' 'puri' 'gazal' 'padh' 'gaye' '.']","['rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi'
 'hi' 'hi' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O'
 'O']"
5,"['Mahashivratri' 'celebrations' 'at' 'my' 'native' 'place' 'pomendi'
 'along' 'with' 'Nandini' 'Vichare' ',' 'Latisha' 'Rajan' 'Vichare' ','
 'Mandar' 'Vichare' ',' 'Kalpesh' 'Salvi']","['rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest'
 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'hi' 'hi']","['O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O'
 'B-PERSON' 'I-PERSON' 'I-PERSON' 'O' 'B-PERSON' 'I-PERSON' 'O' 'B-PERSON'
 'I-PERSON']"
6,"['@Gurmeetramrahim' 'Dhan' 'Dhan' 'Satguru' 'Tera' 'Hi' 'Aasra'
 '#MSGlovesHumanity' 'Salute' '2' 'MSG' 'https://t.co/D07r9bFW5r']",['en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'en' 'rest' 'en' 'en'],"['O' 'B-PERSON' 'I-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-ORGANISATION' 'O']"
7,"['#RailBudget2015' 'hope' 'it' 'is' 'for' 'd' 'development' 'and' 'for'
 'AAM' 'AADMI' '...' '#PrabhuKiRail' 'Prabhu' 'ki' 'kripa' ':)']","['en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'hi' 'hi' 'rest' 'rest' 'hi'
 'hi' 'hi' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O'
 'O']"
8,"['@emraanhashmi' 'Today' 'is' 'Mahashivratri' '.' 'Kya' 'pharak' 'padta'
 'hai']",['hi' 'en' 'en' 'rest' 'rest' 'hi' 'rest' 'hi' 'hi'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
9,"['Will' 'Modi' 'and' 'Manohar' 'Parrikar' 'apologize' 'to' 'nation' 'for'
 'fake' 'Pak' 'Boat' '?' '#MahaShivratri' 'Vyapam' '#BANvsAFG' 'Pakistan'
 'Verna' '#' 'Mumbai']","['en' 'en' 'en' 'hi' 'rest' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest'
 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest']","['O' 'B-PERSON' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'B-PLACE'
 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'B-PLACE']"
