idx,words,ner
0,"['إثارة' 'الفتنة' 'الطائفية' 'جريمة' 'فى' 'حق' 'الوطن' 'والتصدى' 'لها'
 'فرض' 'عين' 'على' 'كل' 'مصرى' '،' 'على' 'الدولة' 'تطبيق' 'القانون' 'بحسم'
 'يقطع' 'دابرالفتنة']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
1,"['أتمنى' 'أن' 'يستجيب' 'الإخوان' 'لإقتراح' 'فهمي' 'هويدي' 'بالدعوة'
 'لإنتخابات' 'رئاسية' 'مبكرة' 'أيا' 'كان' 'موعدها' 'يقدمون' 'فيها' 'وجها'
 'ناجحا' 'غير' 'مرسي' 'والشعب' 'يقرر' 'مصيره']","['O' 'O' 'O' 'B-GROUP' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O']"
2,"['استطلعت' 'آراء' 'من' 'انتخبني' 'وفضلت' 'أغلبيتهم' 'الاستمرار' 'في'
 'الجمعية' 'التأسيسية' 'وفكرت' 'مليا' 'في' 'الأمر' 'ودرست' 'تشكيل'
 'الجمعية' '.' 'وجاء' 'صوت' 'ضميري' 'بالانسحاب']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-GROUP' 'I-GROUP' 'O' 'O' 'O' 'O' 'O'
 'O' 'B-GROUP' 'O' 'O' 'O' 'O' 'O']"
3,"['الرئيس' 'وجماعته' 'يدفعون' 'بمصر' 'إلى' 'مرحلة' 'ظلامية' 'بامتياز' '،'
 'قرار' 'ديكتاتوري' 'بالاستفتاء' 'على' 'دستور' 'باطل' 'يقسم' 'المجتمع'
 'ثم' 'حصار' 'للسلطة' 'القضائية' 'لتعويقها']","['B-PER' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
4,"['القبض' 'على' 'نجل' '#أردوغان' 'ف' 'شقة' 'بمدينة' 'نصر' '#ألش_رخيص' '#'
 'Istanbul' '#Taksim' '#Turkey' '#Erdogan']",['O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O']
5,"['لعن' 'الله' 'سيفا' 'مثلوم' 'على' 'من' 'فسد' '،' 'مسنون' 'على' 'من' 'رفض'
 '.']",['O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
6,"['لا' 'سكر' 'ولا' 'زيت' 'ولا' 'غيره' 'ومن' 'يكتب' 'هذا' 'يردد' 'كلاما'
 'فارغا' '.' 'وبالمناسبة' 'سادعو' 'قريبا' 'لجمع' 'تبرعات' 'لقسم' 'الحروق'
 'بجامعة' 'أسيوط' 'وهو' 'في' 'حالة' 'سيئة' 'جدا']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-LOC' 'I-LOC' 'I-LOC' 'I-LOC' 'O' 'O' 'O' 'O' 'O']"
7,"['آخر' 'مداخلة' 'عملتها' 'مع' 'الابراشي' 'مكنش' 'طايق' 'اني' 'انتقده' 'و'
 'اقوله' 'انت' 'تقاطع' 'ضيفك' 'و' 'لا' 'تتركه' 'يكمل' 'جملة' 'واحدة']","['O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O']"
8,"['الأغبياء' 'اللي' 'طالعين' 'بيتشفوا' 'في' 'وسائل' 'الإعلام' 'وانت' 'قاعد'
 'بتستظرف' 'في' 'ناس' 'ممكن' 'تموت' 'بعض' 'في' 'الشوارع' '.' 'إفرح' 'بوعي'
 'وتحضر' 'وساهم' 'في' 'حقن' 'دم' 'المصريين']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
9,"['أرجوكم' 'ابحثوا' 'عن' 'حوار' 'الطهطاوي' 'مع' 'جمال' 'عنايت' 'وحوار'
 'كمال' 'أبو' 'المجد' 'مع' 'الابراشي' 'وحكموا' 'ضمائركم' 'لتعرفوا' 'خطورة'
 'الصمت' 'على' 'مرسي' 'وجماعته']","['O' 'O' 'O' 'O' 'B-PER' 'O' 'B-PER' 'I-PER' 'O' 'B-PER' 'I-PER' 'I-PER'
 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'O']"
10,"['مذهبية' 'رئيس' 'في' 'مقابل' 'تكفير' 'معارضيه' '،' 'رئيس' 'منتخب' 'يتحول'
 'إلى' 'رئيس' 'للتكفيريين' 'وللمذهبيين' 'ويفقد' 'بهذا' 'كامل' 'الشرعية'
 'الديمقراطية' '،' '٣٠' 'يونيه' 'هو' 'الحل']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-EVENT' 'I-EVENT' 'O' 'O']"
11,"['نقلا' 'عن' 'علاء' 'القمحاوي' ':' 'بدء' 'دخول' 'حالات' 'مصابين'
 'فلسطينيين' 'من' 'معبر' 'رفح']",['O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC']
12,"['هذه' 'الانتخابات' 'باطلة' 'لاسباب' 'عديدة' '.' 'واجبنا' 'الا' 'نخالف'
 'ضمائرنا' 'وندعو' 'الى' 'مقاطعة' 'فعالة' 'حاشدة' 'تؤدى' 'في' 'النهاية'
 'الى' 'نزع' 'الشرعية' 'عن' 'الرئيس' 'المزور' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
13,"['الى' 'القوى' 'السياسية' ':' 'عليناجميعااحترام' 'إرادةالشعب'
 'وإعادةتوحيد' 'الصفوف' 'لأجل' 'التوافق' 'على' 'إعدادالدستورالجديد' 'دون'
 'جرنا' 'لخلافات' 'واشتباكات' 'تفرق' 'لاتجمع']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
14,"['أدعو' 'لحوار' 'وطنى' 'جاد' 'وتوافق' 'شعبى' 'واسع' 'حول' 'مشروع'
 'المبادئ' 'الدستورية' 'كخطوة' 'على' 'طريق' 'إصدار' 'المجلس' 'العسكرى'
 'لها' 'لإنهاء' 'الخلاف' 'واستعادة' 'وحدة' 'الصف' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PROD' 'I-PROD' 'I-PROD' 'O' 'O' 'O'
 'O' 'B-GROUP' 'I-GROUP' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
15,"['تحية' 'لحكم' 'قضاء' 'مصر' 'الشامخ' 'بالزام' 'الحكومة' 'بحد' 'أدنى'
 'للأجور' '،' 'التزام' 'الحكومة' 'بتنفيذ' 'الحكم' 'هو' 'الحد' 'الأدنى'
 'لمواجهة' 'سياسات' 'النظام' 'لافقار' 'الشعب']","['O' 'O' 'B-ORG' 'I-ORG' 'O' 'O' 'B-GROUP' 'O' 'O' 'O' 'O' 'O' 'B-GROUP'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
16,"['اللي' 'بيشوف' 'القاهرة' 'اليوم' 'هيفهم' 'قصدي' 'من' 'آخر' 'تويتة'
 'كتبتها' 'بتاعة' 'ايران' 'دولة' 'عربية' 'وانا' 'من' 'التيار' 'الديني'
 '..' 'اللي' 'مش' 'بيتفرج' 'ميشغلش' 'باله']","['O' 'O' 'B-TITLE' 'I-TITLE' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
17,"['#شفيق' ':' 'المفوض' 'الرئاسي' 'لملف' 'شئون' 'العشوائيات' 'سيعمل' 'علي'
 'تطويرها' 'واتخاذ' 'مايلزم' 'من' 'خطوات' 'تشريعية' 'وتنفيذية' 'في' 'هذا'
 'الاتجاه']","['O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O']"
18,['مصر' 'بلد' 'قلابة' '#المادة_لاولى'],['B-LOC' 'O' 'O' 'O']
19,"['هل' 'معقول' 'ان' 'تحيل' 'اللجنة' 'ابو' 'اسماعيل' 'الي' 'النيابة' 'بشأن'
 'الدعاية' 'الانتخابية' 'وتتجاهل' 'عمر' 'سليمان' 'الذي' 'زور' '٣٠٠٠'
 'توكيل' 'منهم' '٩٦٩' 'توكيلأ' 'في' 'اسيوط' 'فقط' '!']","['O' 'O' 'O' 'O' 'B-GROUP' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER'
 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O']"
20,"['المشروع' 'التنموي' 'لإمتداد' 'قناة' 'السويس' 'بأيدي' 'مصرية' 'لكل'
 'المصريين' 'يدشن' 'للعبور' 'الثالث' 'بعد' 'ثورة' '25' 'يناير' 'العظيمة'
 '#الرئيس']","['B-EVENT' 'I-EVENT' 'I-EVENT' 'I-EVENT' 'I-EVENT' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-EVENT' 'I-EVENT' 'I-EVENT' 'O' 'O']"
21,['هز' 'الطرطور' 'يا' 'سيدي' 'منصور' 'خلي' 'الطراوة' 'تيجي'],['O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O']
22,"['ازمة' 'خليج' 'الخنازير' 'كانت' 'ازمة' 'منفصلة' 'عن' 'ازمة' 'صواريخ'
 'كوبا' '.' 'جاري' 'التصحيح' 'في' 'التسخة' 'الالكترونية' '.' 'نأسف'
 'للخطأ']","['O' 'B-LOC' 'I-LOC' 'O' 'O' 'O' 'O' 'O' 'B-EVENT' 'I-EVENT' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
23,['لن' 'يشارك' 'حزب' 'النور' 'بمليونية' 'الجمعة'],['O' 'O' 'B-ORG' 'I-ORG' 'O' 'B-TIME']
24,"['الى' 'المتطرفين' 'والفلول' 'د.' 'علاء' 'لا' 'يقرا' 'شتائمكم' 'لاني'
 'أضعها' 'في' 'القمامة٠أنصحكم' 'بممارسة' 'اليوجا' 'كل' 'صباح' 'خصوصا'
 'تمرينات' 'البطن' 'ميشيل' 'سكرتير' 'الدكتور']","['O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-PER' 'O' 'O']"
25,"['#شفيق' ':' 'سوف' 'نفاخر' 'بالقاهره' '..' 'عاصمه' 'حره' '..' 'تتخلص' 'من'
 'عشوائياتها' 'تدريجيا' '.' 'وسوف' 'اعين' 'مفوضا' 'رئاسيا' 'لمواجهه'
 'العشوائيات' 'وتطويرها']","['O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
