idx,words,lid
0,['Good' 'vibe' 'tribe' '.'],['lang1' 'lang1' 'lang1' 'other']
1,['beware' '' '..' '.' 'maintain' 'distance' 'from' '' '..' '.' 'modi' 'is' 'a' 'natural' 'deception' 'master' 'an' 'a' 'thug' '..' '.' 'he' 'will' 'loot' ''],['lang1' 'ne' 'other' 'other' 'lang1' 'lang1' 'lang1' 'ne' 'other' 'other' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'ne']
2,['Angry' 'young' 'men' 'sir' 'ji'],['lang1' 'lang1' 'lang1' 'lang1' 'lang2']
3,"['Girlfriend' ""'s"" 'Guide' 'To' 'Divorce' 'is' 'the' 'best' 'replacement' 'for' 'SATCH' 'binge' 'watching' '.']",['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
4,"['Ajay' 'thakur' ',' 'woww' 'this' 'is' 'why' 'kabaddi' 'is' 'gaining' 'more' 'popularity' 'than' 'cricket' 'these' 'days' '.' '40' 'minutes' 'of' 'thrilling' 'sensation' '&' 'India' 'are' 'world' 'champions' '.']",['ne' 'ne' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'other']
5,['Virat' 'so' 'nice' 'player' 'yar' 'what' 'fielding' 'nd' 'batting' 'also' 'keep' 'up' 'virat'],['ne' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne']
6,['va' 'stept' 'cu' 'drag'],['lang2' 'lang1' 'lang1' 'lang1']
7,['U' 'shud' 'feel' 'lucky' '.' 'If' 'I' 'was' 'ur' 'friend' '...' 'id' 'have' 'snatched' 'the' 'bedsheet' 'and' 'rode' 'away' '.'],['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
8,['India' 'had' 'really' 'emerged' 'as' 'a' 'leading' 'nation' 'under' 'the' 'Dynamic' 'leadership' 'of' 'Mr.' 'Modi' '.' 'We' 'have' 'to' 'rule' 'the' 'world' 'in' 'the' '21st' 'Century' '.'],['ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other']
9,['Vryyyyy' 'happy' 'bday' 'sir' 'may' 'sai' 'Saba' 'always' 'protect' 'u' '.'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'ne' 'lang1' 'lang1' 'lang1' 'other']
10,['Vi' 'Kal' '29' 'Tarik' '100'],['ne' 'lang2' 'other' 'lang2' 'other']
11,['Bhaijaan' 'plz' '1' 'reply'],['lang2' 'lang1' 'other' 'lang1']
12,"['Aamir' 'bhai' 'suspense' 'behind' 'ur' 'movie' '..' 'we' 'are' 'waiting' ',' 'salman' 'or' 'shahrukh' 'ko' 'phir' 'se' 'maza' 'chakha' 'den']",['ne' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'other' 'ne' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
13,['' 'If' 'only' 'you' 'are' 'register' 'to' 'it' '.' 'But' 'its' 'terrible' 'live' 'stream' 'there' 'coz' 'they' 'show' '5' 'or' '10' 'mins' 'late'],['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other' 'lang1' 'lang1']
14,['virat' 'is' 'the' 'best' 'parson' 'as' 'well' 'as' 'cricketer' 'in' 'the' 'world' '..' '.' 'and' 'no' 'one' 'can' 'be' 'like' 'virat' 'kohli' 'in' 'the' 'present' 'era' '..' '..' 'because' 'he' 'knows' 'very' 'well' 'that' 'how' 'should' 'handle' 'a' 'critical' 'problem' 'in' 'the' 'pressure' 'situation' '..' '..' 'and' 'finally' 'i' 'wanna' 'say' 'that' 'kohli' 'is' 'best' '..' '..' '..' 'Er' 'Mohd' 'Nadeem' '..' '..' '.'],['ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'other' 'other' 'other' 'ne' 'ne' 'ne' 'other' 'other' 'other']
15,['More' 'power' 'to' 'you' '' 'Bash' 'these' 'pseudo' 'seculars' 'and' 'commies' 'even' 'harder' '.' 'They' 'deserve' 'no' 'mercy' '.' 'They' 'are' 'sick' 'from' 'the' 'core' '.'],['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
