idx,words,lid,pos
0,"['Pak' 'is' 'in' 'confused' 'state' 'of' 'mind' '.' '#SurgicalStrike'
 'hui' 'ya' 'nahi' 'is' 'par' 'contradictory' 'statements' 'aa' 'rahe'
 'hain' '.' 'Nahi' 'huyi' 'to' 'tension' 'mai' 'kyon' '?']","['rest' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi'
 'hi' 'en' 'en' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'en' 'hi' 'hi' 'rest']","['PROPN' 'VERB' 'ADP' 'ADJ' 'NOUN' 'ADP' 'VERB' 'X' 'X' 'VERB' 'CONJ'
 'PART_NEG' 'DET' 'ADP' 'NOUN' 'NOUN' 'VERB' 'VERB' 'VERB' 'X' 'PART_NEG'
 'PART' 'PART' 'NOUN' 'ADP' 'PRON_WH' 'X']"
1,"['@ncpspeaks' 'former' 'Gen' '.' 'V' 'P' 'Malik' 'aur' 'DGMO' 'Vinod'
 'Bhatiya' 'ne' 'kaha' 'ki' 'pahle' 'kabhi' '#SurgicalStrike' 'huyi' 'hi'
 'nahi' 'Jhootha' 'kaun' '?' '@pawarspeaks']","['rest' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'hi' 'rest' 'rest' 'rest'
 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest']","['X' 'ADJ' 'NOUN' 'X' 'PROPN' 'PROPN' 'PROPN' 'CONJ' 'PROPN' 'PROPN'
 'PROPN' 'ADP' 'PRON_WH' 'ADP' 'ADV' 'ADV' 'X' 'PART' 'PART' 'PART_NEG'
 'PART' 'PRON_WH' 'X' 'X']"
2,"['Anyone' 'heard' 'of' 'hafiz' 'saeed' ',' 'salahuddin' 'or' 'masood'
 'azhar' '?' 'or' 'has' '@AsimBajwaISPR' 'relocated' 'them' 'to' 'a'
 'safe' 'place' '?' 'Away' 'from' 'IA' '?' '#SurgicalStrike']","['en' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'hi' 'rest' 'rest' 'rest' 'en'
 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'en' 'en' 'rest' 'rest'
 'rest']","['PRON' 'VERB' 'ADP' 'PROPN' 'PROPN' 'X' 'PROPN' 'CONJ' 'PROPN' 'PROPN'
 'X' 'CONJ' 'VERB' 'X' 'VERB' 'PRON' 'PART' 'DET' 'ADJ' 'NOUN' 'X' 'ADV'
 'ADP' 'PROPN' 'X' 'X']"
3,"['@ArvindKejriwal' 'Worldwide' '#SurgicalStrike' 'vdo' 'collect' 'kar'
 'rahe' 'hain' 'shayad' 'Sirjee' 'if' 'VDO' 'na' 'mile' 'na' 'Pls' 'do'
 'collect' 'postal' 'stamp' 'Good' 'Hobby']","['rest' 'en' 'rest' 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'rest' 'hi'
 'hi' 'hi' 'en' 'en' 'en' 'en' 'en' 'en' 'en']","['X' 'NOUN' 'X' 'NOUN' 'VERB' 'VERB' 'VERB' 'VERB' 'NOUN' 'X' 'CONJ'
 'PROPN' 'PART_NEG' 'VERB' 'PART_NEG' 'ADV' 'VERB' 'NOUN' 'ADJ' 'NOUN'
 'ADJ' 'NOUN']"
4,"['RT' '@UsmanAQayyum' ':' 'Pak' ':' 'Acha' 'Dikao' 'Zara' 'Saboot' 'Ind'
 ':' '#SurgicalStrike' 'Pak' ':' 'Hm' '.' 'Mmmmm' 'Ind' ':' 'Promise'
 'Kro' 'Saboot' 'Dekh' 'K' 'Delete' 'Kr' 'Do' 'Gye' '.' '#WellDone']","['en' 'rest' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest' 'rest'
 'rest' 'rest' 'hi' 'rest' 'en' 'en' 'rest' 'en' 'hi' 'hi' 'hi' 'hi' 'en'
 'hi' 'hi' 'hi' 'rest' 'rest']","['X' 'X' 'X' 'PROPN' 'X' 'ADJ' 'PART' 'PART' 'NOUN' 'PROPN' 'X' 'X'
 'PROPN' 'X' 'PRON' 'X' 'ADJ' 'ADJ' 'X' 'VERB' 'VERB' 'NOUN' 'VERB' 'ADP'
 'NOUN' 'VERB' 'VERB' 'VERB' 'X' 'X']"
5,"['All' 'Netas' 'demanding' 'proof' 'of' '#SurgicalStrike' ',' 'we' 'want'
 'proof' 'ki' 'aap' 'apne' 'baap' 'ki' 'sagi' 'aulaad' 'ho' '#Shame' 'on'
 'idiots' 'who' 'voted' 'these' 'bastards']","['en' 'rest' 'en' 'en' 'en' 'rest' 'rest' 'en' 'en' 'en' 'hi' 'hi' 'hi'
 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'en' 'en']","['DET' 'NOUN' 'VERB' 'NOUN' 'ADP' 'X' 'X' 'PRON' 'VERB' 'NOUN' 'ADP'
 'PRON' 'PRON' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'VERB' 'X' 'ADP' 'ADJ' 'PRON_WH'
 'VERB' 'DET' 'NOUN']"
6,"['RT' '@MK7786' ':' '@oblmir' 'Awkward' 'moment' 'is' 'pak' 'army'
 'denying' 'any' 'attacks' 'but' 'pak' 'govt' 'condemned'
 '#SurgicalStrike' '..' 'Saalo' 'decide' 'kar' 'lo' 'kya' 'hua' 'hai']","['en' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en'
 'rest' 'en' 'en' 'rest' 'rest' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'hi']","['X' 'X' 'X' 'X' 'ADJ' 'NOUN' 'VERB' 'PROPN' 'NOUN' 'VERB' 'DET' 'NOUN'
 'CONJ' 'PROPN' 'NOUN' 'VERB' 'X' 'X' 'NOUN' 'VERB' 'VERB' 'VERB'
 'PRON_WH' 'VERB' 'VERB']"
7,"['RT' '@Grey_2994' ':' 'Lagany' 'aag' 'jo' 'aye' 'thy' 'aashiyany' 'ko'
 'Wo' 'sholay' 'apny' 'lahu' 'c' ',' 'bhuja' 'diye' 'tum' 'ny' '!'
 '#WellDonePakArmy' '#RIP' '#SurgicalStrike' 'https://t']","['en' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi'
 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest' 'rest' 'rest' 'rest']","['X' 'X' 'X' 'PROPN' 'NOUN' 'PRON' 'VERB' 'VERB' 'NOUN' 'ADP' 'PRON'
 'NOUN' 'PRON' 'NOUN' 'X' 'X' 'PART' 'PART' 'PRON' 'PART' 'X' 'X' 'X' 'X'
 'X']"
8,"['Now' 'dirty' 'politics' 'start' 'on' '#SurgicalStrike' '..' 'hamre'
 'desh' 'ke' 'kuch' 'Neta' 'nhi' 'sudhrenge' '.' 'everyday' 'need' 'media'
 'attention' '.' 'Foket' 'me' 'limelight']","['en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en'
 'rest' 'en' 'en' 'en' 'en' 'rest' 'hi' 'hi' 'en']","['ADV' 'ADJ' 'NOUN' 'VERB' 'ADP' 'X' 'X' 'PART' 'NOUN' 'ADP' 'DET' 'NOUN'
 'PART_NEG' 'NOUN' 'X' 'NOUN' 'VERB' 'NOUN' 'NOUN' 'X' 'VERB' 'ADP' 'NOUN']"
9,"['JO' 'TERRORIST' 'THE' 'UN' 'K' 'KHILAAF' 'KAMYAB' '#SurgicalStrike'
 'HUI' ',' 'TERRORIST' 'AUR' 'ARTIST' 'MEI' 'FARQ' 'RAKHO' '.' '-'
 '@BeingSalmanKhan' '(' 'CORRECT' 'KAHA' ')']","['hi' 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'rest' 'en' 'hi' 'en' 'hi'
 'hi' 'hi' 'rest' 'rest' 'rest' 'rest' 'en' 'hi' 'rest']","['PRON' 'NOUN' 'DET' 'PRON' 'ADP' 'ADP' 'NOUN' 'X' 'VERB' 'X' 'NOUN'
 'CONJ' 'NOUN' 'ADP' 'DET' 'VERB' 'X' 'X' 'X' 'X' 'ADJ' 'PRON_WH' 'X']"
